term,speech_part,meaning
combustible,adj.,"mabiit a mauram, caayo-ayo ti apuy"
comfort,n.,nam-ay
comfort,v.,"liwliwaen, pagnam-ayen"
comfortable,adj.,nanam-ay
comforter,n.,"mangliwliwa, magraragsac"
comic,"n., adj.","comica, macapagcatawa"
comical,adj.,nacacatcatawa
command,v.,bilinen
commander,n.,"pangulo, ti agbilin"
commemoration,n.,pananglagip
commence,v.,irugi
commencement,n.,"panangrugi ti maudi a paset ti programa, ayayam, wenno daduma a banag"
commend,v.,"dawayen, idayaw"
comment,n.,panangdillaw
commerce,n.,"comercio, panaglaco"
commercial,adj.,maipapan iti panaglaco
commission,n.,"ganancia, gunggona"
commissioner,n.,"comisionado, diputado"
commit,v.,italec
committee,n.,comite
common,adj.,"sapasap, cadawyan"
communication,n.,"panagsinnarita, panagsarita, surat"
community,n.,"ili, barrio, puroc"
companion,n.,cadua
companionship,n.,panagcadua
company,"n. timpuyog ti, cas agpassiar, aglaco, etc.",
compare,n.,"ti panangidilig, ti panangyasping, ti panangparis"
compartment,n.,"benneg, siled"
compassion,n.,"asi, panangngaasi"
compatriot,n.,cailian
compel,v.,pileten
compensation,n.,"ti rebbeng a bayad, bayad"
compete,v.,salisalen
compilation,n.,pannacaummong
complain,v.,"umasug, agdayengdeng, agipulong"
complete,adj.,naan-anay
complete,v.,"leppasen, anayen"
complexion,n.,maris ti cudil
compose,v.,buclen
composer,n.,agputar iti tocar
composition,n.,"ti tocar, sinuratan wenno dadduma a sinuratan"
comprehend,v.,"awaten, ammuen"
comprehension,n.,"panangawat, panangammo"
comrade,n.,"gayyem, cadua, catalec"
conceal,v.,"ilemmeng, idulin"
concede,v.,"acuen, awaten, ited"
conceit,n.,"kinatangig, pakinakem"
conceive,v.,"ipato, inawen"
concentrate,v.,"ipamaysa, tiponen"
concentration,n.,"culongan, panangipamaysa"
conception,n.,"panangawat, capununotan, inaw"
concern,n.,"pasdec ti comercio, segga, pannacasecnan"
concerning,adj.,"maipanggep, maipapan"
concert,n.,concierto
conclude,v.,leppasen
conclusion,n.,"gibusna, tungpalna"
condemn,v.,"dusaen, parigaten wenno ipatay ti basol"
condition,n.,casasaad
conditional,adj.,agsadag iti casasaad
conduct,n.,"ugali, tignay"
conduct,v.,"ituhod, iturong"
confection,n.,"nasam-it, sinam-it"
confederation,n.,panagcacadua
confer,v.,"makisango, makisarita"
conference,n.,"puroc, taripnong"
confess,v.,"ipalgac, ipudno"
confession,n.,"confesar, pangangipudno, panangisarita"
confidence,n.,"pammati, talec"
confidential,adj.,nalimed
confine,v.,ipupoc
confirm,v.,"panecnecan, patalgedan"
confirmation,n.,pammatalged
confiscate,v.,"alaen babaen ti linteg, agawen"
conflict,n.,"susic, panagbinnusor"
confusion,n.,"riribuc, gulo"
congestion,n.,"panagadu unay, panaglilinnipit"
congress,n.,"congreso, pagaramidan iti linteg"
congressman,n.,"representante, congresista"
conjecture,n.,pugto
conjugal,adj.,maipapan iti callaysa
connect,v.,"isilpo, inayon"
connection,n.,"panagsilpo, nayon"
connivance,n.,"pannakitinnarus, panagtunos"
connive,v.,"makitunos, makitinnarus"
conquer,v.,"panangabac, scupen"
conqueror,n.,"nangabac, nangatiw, nangparmec"
conquest,n.,"panangabac, panangparmec"
conscience,n.,"capanunotan, ricna, nakem"
conscientious,adj.,"managpanunot, naa-naanus, nagaget"
conscript,n.,paglistaan cadagiti maipapilit nga agsoldado
consensus,n.,"panagcaycaysa, panagtunos"
consequence,n.,nagbanagan
consider,v.,"panunoten, usigen"
considerable,adj.,nawadwad
consideration,n.,"panagpanunot, panangpanunot"
consist,v.,"launen, buclen"
consolation,n.,"pangraragsac, liliwa"
constant,adj.,"canayon, agnanayon, di bumaliw"
constitution,n.,"pagalagadan, linteg ti timpuyog"
construct,v.,"ipatacder, aramiden"
construction,n.,"panangipatacder, panangaramid"
consult,v.,imtuoden
consultation,n.,"pannakisao, panangdawat iti balacad"
contagious,adj.,macaalis
contain,v.,"laonen, buclen"
contaminate,v.,"iccan iti rugit, mulitan"
contempt,n.,"gura, ibubusor"
contend,v.,"ipapilit, itacderan"
content,adj.,"maragsacan, mapnec"
contents,n.,"linaon, nagyan, naipauneg"
contest,n.,"salisal, salip"
contest,v.,"salisalen, salipen susiken"
continue,v.,"ituloy, maituloy, sigi, walang patid"
contour,n.,"lañga, urnos"
contract,n.,"contrata, tulag"
contractor,n.,"nagaramid contratista, makitulag"
contradiction,n.,"maicaniwas nga aramid, sungani"
contrary,adj.,maicaniwas iti maysa a banag
contrast,n.,"casupadi, gidiat"
contrasting,adj.,"maisupadi, maigdiat"
contrive,v.,"aramiden, ipamuspusan"
control,n.,panangtengngel
controller,n.,"agturay, agtengtengngel"
controversy,n.,"panagbinuosor, susic"
convalescent,n.,"agpapaungar, agpapalaing"
convenient,adj.,"nanamay, nasayaat, mainugot"
convention,n.,"convencion, taripnong"
conventional,adj.,maisurot'iti linteg
conversant,adj.,nalaing nga agsarita
conversation,n.,"panagtungtong, panagsarita"
convert,v.,"pagbalinen, pagbaliwen"
convey,v.,"ipacaammo, ited, ipaw-it"
conveyance,n.,"lugan a pagbunag, panangidanon"
convict,n.,"balud, naipato a nagbasol"
conviction,n.,"pammati, pannacapabasol"
convince,v.,"uyotan, awisen"
convivial,adj.,"naragsac, narambac"
cook,n.,"cocinero, agluto"
cool,adj.,"nalamiis, nalam-ec, naangin"
cooperate,v.,"makicadua, tumulong"
cooperation,n.,panagtitinulong
cop,n.,policia
copy,v.,"copiaen, tuladen"
copyright,n.,pagpatalged a cucua ti nag-aramid
cord,n.,"cordon, tali, lubid"
cordial,adj.,"naragsac, napasig, nabara"
cordiality,n.,"kinaragsac, kinapasig"
cork,n.,"calub, tapon"
corn,n.,maiz
corner,n.,suli
corny,adj.,"nagubsang, maipapan iti maiz"
corporation,n.,corporacion
corpse,n.,"bangcay, minatay"
corpulence,n.,"kinalucmeg, cataba"
correct,adj.,"panangatur, pananglinteg"
correspond,v.,makipagsinnurat
correspondence,n.,"surat, panagsinnurat"
corrupt,adj.,"nakillo, nalungsot"
corset,n.,"barikes, pagirut iti bado"
cost,n.,"bayad, gatad"
costly,adj.,"nangina, napateg"
cotton,n.,capas
cotton tree,n.,pinuon ti capas
couch,n.,"pagtugawan, pagid-daan"
cough,v.,aguyec
council,n.,"puroc, concejo"
counsel,n.,"panmagbaga, mamagbaga"
count,n.,bilang
countenance,n.,"rupa, langa ti rupa"
counteract,v.,"isususpadi, supringen"
counterfeit,adj.,"nayulad, parbo"
country,n.,"away, pagilian aruar ti ili"
country-people,n.,taga-away
county,n.,"provincia, paset ti ili"
couple,n.,"dua, agasawa"
courage,n.,"tured, pakinakem"
course,v.,"palabasen, patarayen, idalan"
court,n.,"pangcucoman, corte"
courteous,adj.,"nadayaw, managraem"
cousin,n.,casin-sin
cover,n.,calub
covet,v.,"apalan, umapal"
coward,adj.,natacrot
crab,n.,"cappi, agatol"
crack,n.,"buong, bettac"
crack,v.,"buongen, bettaken"
cracker,n.,"biscuit, galletas"
cradle,n.,"indayon, pagiddaan a naigalut iti agsinnumbañgir"
cranky,adj.,"naunget, naalidunget"
crash,n.,"panagtupa, panagdungpar"
crave,v.,"panggepen, callaguman"
craving,n.,"calicagum, pangep"
crawl,v.,"agcarayam, agcaradap"
cream,n.,"crema, nalaucan a gatas iti nadumaduma a kita ti taraon"
create,v.,"pinarsua, agaramid"
creation,n.,"panagparsua, aramid"
creature,n.,"persus, ayup"
credit,n.,"utang, bayadan, dayaw"
creek,n.,waig
crevice,n.,"birri, bettac, lussoc"
crew,n.,"dagiti, aglaylayag, tattao iti lugan"
crib,v.,"indayon, pagturogan ti ubbing"
cricket,n.,"curiat, maysa mga ay-ayam dagiti Ingles"
cried,v.,"nagsangit, nangayab, nagpuccaw"
crime,n.,basol
criminal,n.,"criminal, nagbasol"
crimson,adj.,"nalabaga, malabbasit"
cripple,n.,"pilay, sasa a macapagna"
cripple,v.,pilayen
criticism,n.,"panangdillaw, dillaw"
criticize,v.,"dillawen, usigen"
crop,n.,"dagiti, apiten"
cross,v.,"bumallasiw, lumasat"
crown,n.,"corona, balangat"
crown,v.,"coronaan, balangatan"
cruel,adj.,"naulpit, naranggas"
cruelty,adj.,kinaranggas
crumb,n.,"bassit, sangcabassit, regreg"
crumbling,v.,"matulid, margaay"
crumpled,adj.,"nacunes, saan nga aguurnos"
crush,v.,"pabassiten, rumeken"
cry,n.,"sangit, puccaw, ayab"
crystal,n.,cristal
cucumber,n.,pepino
cuff,n.,puños
cultivate,v.,"sucayen, patanoren"
culture,n.,"adal, sursuro"
cunning,adj.,"managdakes, masirib"
cup,n.,tasa sartin
cupboard,n.,"banquera, pagidulinan iti ca nen wenno pingpinggan"
cure,n.,"agas, pangpaimbagan"
cure,v.,"agasan, paimbagen"
curious,adj.,naaya a mangkita wenno mangammo
currency,n.,"cuarta, pirac"
current,"n., adj.","corriente, agdama, ayus"
curriculum,n.,"curiculum, adalen"
curse,v.,"irurumen, ilunod"
cursory,adj.,"mabiit, bassit apagbiit"
curtain,n.,"linged, cortina"
curve,n.,"killo, curva, sicco"
cushion,n.,"pungan, colchon"
custom,n.,"ugali, cadawyan"
cut,n.,"panagputed, puted"
cutlery,n.,"dagiti maaramat a pagputed, natadem a ramit"
cycle,n.,"panagpusipos, aglicmot, nagbukel, pannagna ti panawen"
cyclone,.,alipugpog
cymbals,n.,piangpiang
cynical,adj.,agduadua
cynosure,n.,pacaituronga unay ti imatang
daily,adv.,inaldaw
dainty,adj.,"bassit, nadalus"
dairy,n.,paggatasan
dairymaid,n.,babai nga glalacao iti gatas
dairyman,n.,lalaki nga aglaclacao iti gatas
dam,n.,"(reservoir) tambac, puttot"
damage,n.,"pucaw, dael"
damage,v.,dadaelen
dame,n.,"balasang, babai"
damn,v.,"pasardengen, lapdan"
damnation,n.,"lunod, unget"
damp,adj.,"nabasa, nadam-eg"
damp,v.,"palamiisen, padam-egen, babasaen"
dance,n.,sumasala
danger,n.,peggad
dapper,adj.,nasaranta nataer
dare,n.,"carit, padas"
dare,v.,"padasen, cariten"
dark,adj.,"nasignet, nadilem, nalimed"
darken,v.,"pasipngeten, pacudrepen"
darkness,n.,"singpet, kinasipnget"
darling,n.,"caayan-ayat, casimpungalan"
darn,v.,"daiten, susiran"
dart,n.,"pana, gayang"
dash,v.,napartac a taray
daughter,n.,anac na babai
daughter-in-law,n.,manugang (babai)
dawdle,v.,"agbulacbol, agpained iti oras"
dawn,n.,parbangon
day,n.,adlaw
daydream,n.,"tagtagainep, arapaap"
daze,n.,ulaw
dead,adj.,natay
deaf,adj.,tuleng
deal,v.,"makicadua, isucat, ilaco"
dealer,n.,aglaclaco
dear,adj.,"nangina, napateg"
death,n.,"pannacatay, patay"
deathless,adj.,"agnanayon, inggat ingana, saan a matay"
debate,n.,"debate, panagsinnungbat, sinnupiat"
debt,n.,utang
debut,n.,damo a panagparang iti tallaong
decay,n.,rupsa
deceit,n.,"panangallilaw, panaguibod"
deceive,v.,"allilawen, ulboden"
december,n.,Diciembre
decide,v.,ikeddeng
decision,n.,keddeng
deck,n.,cadsaaran ti sasacayan
deck,v.,cawesan
declaration,n.,panagpalawag
declare,v.,ipalawag
decline,v.,"panagbaba, tubngaren"
decorate,v.,"arcosan, papintasen"
decoy,n.,pangallilaw
decrease,v.,"kissayan, pabassiten"
decree,n.,"linteng, keddeng, bilin"
decrepit,adj.,"nalupoy, rutrot, daan"
decry,v.,"isangit, lagidawen"
dedication,n.,"pananglagip, irucnoy, idaton"
deduction,n.,kissay
deed,n. aramid.,pammanecnec
deem,v.,"ipahanetget, ipagarup"
deep,adj.,adalem
deer,n.,ugsa
deface,v.,"piltacan, dadaelen ti buya"
defamation,n.,"pammadpadakes, panangdadael iti dayaw"
defeat,n.,pannacaabac
defect,n.,"curang, kinadakes"
defend,v.,"isalacan, icanawa"
defend,v.,"iti sabali, agpannuray"
defense,n.,"salacnib, salacan"
deference,n.,"nabati, gidkiat"
deformity,n.,"nalaad a langa, pannacadadael"
defraud,v.,"sauren, ulboden"
defy,v.,"cariten, nga icaso"
degree,n.,"grado, rucod, 1/360, tilulo"
dejection,n.,"rigat, ladlingit, pannacaupay"
delay,n.,"gabay, pannacaitantan"
delegate,n.,"pannacabagi, representante"
delete,v.,"iccaten, dadaelen"
delicate,adj.,"narasi, naalicaca"
delicious,adj.,"naimas, nananam"
delight,n.,"macaparagsac, macaliwliwa"
delinquent,adj.,"maudi nga agbayad, managbaybay-a"
delirious,,"adj maul-ulaw, agamamangaw"
deliver,v.,"alaen, panangyawat, ipasugay, isalacan"
delivery,n.,"panangitulod, panangyawat, panagpasngay, panangisalacan"
demand,n.,dawat pacasapulan
demarcation,n.,"dulon, beddeng"
democracy,n.,"democracia, turay dagiti umili"
demonstrate,v.,"ipalawag, ipakita, ipasirmata"
denial,n.,"panaglibac, panagulbod"
denounce,v.,"ipulong, ibaga"
dense,adj.,"napuscol, adu, nasamec"
denude,v.,"ussoban, lucasan"
deny,v.,"ilemmeng, ilenged, ilibac"
depart,v.,"pumanaw, agluas"
department,n.,"departamento, benneg"
dependent,n.,"taraken, adda iti aywan"
depict,v.,"ipakita, iladawan"
deplore,v.,"babalawen, ladingiten"
deport,v.,ipan iti sabali a daga
depose,v.,iccaten
deposit,n.,"pagurnongan, deposito"
deposition,n.,"cari a maisurat, panangiccat iti pagsaaden"
depot,n.,"pagidulinan iti tagilaco, estacion"
depraved,adj.,"dakes, nakilla"
depressed,adj.,"naliday, naldingit, masmasnaayan"
depride,v.,"laisen, catawaan, rabaken"
deprivation,n.,"carigatan, panagsagaba"
deprive,v.,"alaen, aonen"
deprive,v.,"ipaidam, ibabawi"
depth,n.,"cauneg, candalem"
derelict,adj.,"nabaybay-an, bimmaba, dacsanggasat"
dertermination,n.,"tured, gagar, kinapinget"
descend,v.,"bumaba, dumsang, agsalong"
descendant,n.,"nagtaudan, naggapuan"
describe,v.,"iladawan, isarita, isurat, salaysayen"
description,n.,panangiladawan
desert,n.,nalawa a cadaratan
desert,v.,"panawan, ibati, baybayan"
deserve,v.,maiparbeng
design,n.,"ladawan, kita, palabala, panggep"
designate,v.,"isuro, itudo, dutuken"
designer,n.,"modista, agar-aramid iti balabala, agiladladawan"
desirable,adj.,"macay-ayo, nasayaat"
desire,n.,"calicagum, tarigagay"
desirous,adj.,"naregget, gumawawa unay"
desolate,adj.,"naladingit, naliday"
despair,n.,"rigat, tuoc, caawan ti nam-nama"
desperate,adj.,"malagawan, napucawan iti namnama"
despise,v.,"uwayen, laisen"
despoil,v.,"tacawan, pagtacawan"
destined,adj.,"tudingan, naicari, naipagasat"
destitute,adj.,"napanglaw, marigrigat"
destruction,n.,"pannacadadael, ipapatay"
detach,v.,"iccaten, warwaren"
detail,n.,"ramitramit, paset ti salaysay, pagen ti soldado"
detain,v.,"ibati, tactaken"
detect,v.,"ripi-ripen, ilasin"
detective,n.,"tictic, agsisiim, pannacabagi ti linteg"
detention,n.,"pannacatactac, pannacapasardeng, pannacaibalud"
determined,adj.,"naicari, naikeddeng"
detonation,n.,canalbuong
detour,n.,"aglicaw, agsicco"
develop,v.,"pasayaaten, papintasen, sucogen"
development,n.,"panangpasayaat, panangpapintas, pannacasucog"
deviate,v.,"aglisi, sumiasi"
device,n.,"aramaten, pamuspusan"
devil,n.,"demonio, sairo, kinadakes"
devise,v.,"aramiden, partuaten"
devoid,adj.,"curang, awanan"
devote,v.,"ipaay, ipaymaysa"
devotion,n.,"panagayat, devocion, panangi-pangpangruma"
devour,v.,"ibusen, canen, alun-onen"
devout,adj.,"managayat iti Dios, anac ti Dios, napudno"
dew,n.,linnaaw
dexterity,n.,"kinasaririt, kinalaing"
diabolic,adj.,"nacabutbuteng, dakes, nacam-amac"
diagnosis,n.,"panangkita, panangricna iti sakit"
dialect,n.,"pagsasarita, pagsasao"
diaper,n.,"lamoin, apuro"
diary,n.,"casuratan, inaldaw nga ramid a maisurat"
dictate,v.,"isarita, ibaga, ibaon, ibilin"
dictation,n.,"sinarita, imbaga, imbaon, bilin"
diction,n.,"pannacaisao ti sarita, panangpili iti sarita"
dictionary,n.,"pagkitaan iti cababagas ti sarita, diccionario"
difference,n.,"subang, gidiat"
different,adj.,"sabali, maigdiat"
difficult,adj.,"narigat, naricut"
difficulty,n.,"rigat, ricut"
diffident,adj.,"managbabain, di matagtagari, naulimec"
diffuse,v.,iwaras
dig,v.,"icali, icutcot"
digest,n.,"naurnong a paset, ababa a pannacaimaldit"
digest,v.,"ipabassit, runawen"
dignified,adj.,"nadayaw, natacneng"
dignity,n.,"dayaw, tan-oc"
dilate,v.,"palawaen, padackelen"
dilemma,n.,"paricut, naricut a pili"
diligent,adj.,"naanus, managadal, nagaget"
dilute,adj.,"napacapsut, nalaocan"
dim,adj.,"nasipnget, nadilem"
dime,n.,sanggapulo a centimos
dimension,n.,"rucod, cadackel"
dimness,n.,"kinasipnget, kinadilem"
dimples,n.,callid
din,n.,"riri, riribuc, ringgor"
dine,v.,mangan
dingy,adj.,"narugit, nangisit, naangot"
dinner,n.,pang-ngaldaw
dip,v.,"yuneg, isawsaw itapog"
direct,v.,"nalinisuro, iturong"
direction,n.,"direccion, ania a disso, panangisuro"
director,n.,"pangulo, mangisursuro, aking-apuanan, mangimaton"
directory,n.,"pagsuratan, listaan, casuratan, libro a yan ti nagnagan, taeng ken dadduma pay"
dirt,n.,"rugit, tapoc"
dirty,v.,narugit
disability,n.,"dacsanggasat, caawan ti pannacabalin"
disadvantage,n.,"pagdacsan, paricut"
disagree,v.,"agsupadi, isusupiat"
disapper,v.,"panagawan iti imatang, agpucaw"
disappoint,v.,paayen
disappointment,n.,"pannacapaay, pannacaupay"
disapprove,n.,"keltayen, saan a canunongan"
disarm,v.,iccatan iti armas
disaster,n.,"dumteng a rigat, riribuc, didigra"
disburse,v.,"gastusen, ibayad"
discharge,n.,"panangiccat, panangiwayang"
discharge,v.,"iccaten, ipaltog, iwayang"
discipline,n.,"disciplina, pannacalsuro, adal"
disclosure,n.,"pannacairacurac, pannacanwaragawag, panangilatac"
discord,n.,"riri, saan a ppanagtunos"
discourage,adj.,"mapacapsuten ti nakem, upayen"
discover,v.,biroken
discovery,n.,"pannacabiroc, pannacabuctal"
discreet,adj.,"naannad, mapagtalcan"
discriminate,v.,"pileen, iccaten (dagiti saan a rumbeng)"
discuss,v.,"saritaen, salaysayen"
discussion,n.,pagsaritaan
disdain,v.,"laisen, guraen"
disease,n.,sakit
disembark,v.,"dumsag, sumanglad"
disgrace,n.,"disgracia, matulawan iti dalaw, mulit"
disgraceful,adj.,nacababin
disgruntled,adj.,"masuron, masimronan"
disguise,n.,panang-limlimo
disgust,n.,"nauma, nasuron"
dish,n.,"pinggan, canen"
dishonest,adj.,"ubod, manangallilaw"
dislike,n.,"cagurgura, saan a cayat"
disloyal,adj.,"naulbod, saan a napudno"
dismiss,v.,"iccaten, papanawen"
dismissal,n.,pannacapapanaw
dismount,v.,"bumaba, umulog"
disobedience,n.,"di-pagsunod, pagsuway"
disorder,n.,riribuc
disorderly,adv.,"awan urnos, saan nga agsusurot, nariribuc"
disown,v.,lacsiden
display,n.,pabuya
display,v.,"ipakita, ipacaammo"
displeased,adj.,"napaay, masuron, nasair"
disposal,n.,"panangited, dasig, pagatayan"
dispose,v.,"panangisaad, itden, ilaco"
dispute,n.,"susic, riri"
disrupt,v.,"singaen, gupden"
dissatisfaction,n.,saan a pannacapnec
dissent,v.,"sumupiat, saan a camanunong"
dissolve,v.,"runawen, tunawen"
dissuade,v.,"pasardengen, upayen"
distance,n.,"caadayo, baet"
distant,adj.,adayo
distasteful,adj.,"nacasusuron, saan a macaay-ayo iti raman"
distinct,adj.,"nalitnaw, nalawag, naisupadi"
distinguished,adj.,nalatac
distract,v.,"rirbuken, guyoden ti ania man a paset, sungaen"
distress,n.,"rigat, pasamac, sakit, tuoc"
distribute,v.,"iwaras, ibunong, iburay"
distrust,n.,"panagduadua, saan a panagtalec"
disunite,v.,"pagsisinaen, pagringgoren"
ditch,n.,"canal, pagayusan ti danum"
dive,v.,"agsuec, bumatoc"
diverge,v.,"agsasabali a dirrecion, umadayo"
diverse,adj.,nadumaduma
divert,v.,"liwliwaen, isiasi"
divest,v.,"ussoban, paidaman"
divide,v.,bingayen
divine,adj.,"Nadiosan, NAsantuan, natan-oc"
divisibilty,n.,pannacabingay-bingay
divorce,n.,"divorcio, panagsina"
divulge,v.,"ipalgac, iracurac"
dizziness,n.,"pannacaulaw, ula"
do,v.,"aramid, aramiden"
docile,adj.,"nalaca nga isuro, nalaca nga iturong, natulnog"
dockyard,n.,pagaramidan wenno pagtarimaanan iti vapor
doctor,n.,mangngagas
doctrine,n.,"doctrina, pammati"
document,n.,"documento, casuratan"
dodge,v.,"lisian, liclican"
dog,n.,aso
doleful,adj.,"naladingit, nasipnget, nacuyem"
doll,n.,"muñeca, tirtiris"
domain,n.,"daga, masacsacupan, cucua, iturayan"
dome,n.,bubongan
domestic,adj.,"naamo, maipapan iti uneg ti bala"
domesticated,adj.,"pinaamo, tinaraken"
domicile,n.,"balay, taeng, pagtaengan"
dominant,adj.,"nangato, naturay, mangnangruna"
dominion,n.,"turay, cucma"
don,v.,"icawes, ipadas, isuot"
donor,n.,ti mangisagut
doom,n.,"dusa, gasat, patay, rigat"
door,n.,"ridaw, sercan"
doorknob,n.,pagiggaman iti ridaw
doorlatch,n.,balunet wenno sagiped ti ridaw
dope,v.,"angawen, ulawen, allilawen"
dose,n.,caadu wenno sucat ti panagagas
dot,n.,tulnec
double,n.,"dua, mamindaa"
double-cross,v.,allilawen
doubt,v.,"agduadua, saan nga agtalec"
doubtful,adj.,pagduaduaan
doubtless,adj.,saan a pagduaduaan
dove,n.,"pagaw, calapati"
dovetail,v.,pagtumpongen
downcast,adj.,"nacamuleng-leng, nacamattider, naliday"
downright,adj.,"nabatad, naan-anay"
downstairs,adv.,arsadan ti agdan' baba ti agdan
downwards,adv.,agpababa
dozen,n.,"sangadocena, sangapulo ket dua"
draft,n.,"cheque, pul-oy ti angin; cameng ti armada; bilin maipapan it panagbayad"
draftsman,n.,agar-aramid iti plano
drag,v.,uloden
dragnet,n.,"pagtiliw, pangsilo, iket a pagcalap"
dragonfly,n.,"tuwato, simotsimot"
drain,v.,"carsan, paatianan"
drainage,n.,"canal, pagayusan ti danum, cali"
drama,n.,"zarsuela, pabuya"
dramatize,v.,ipabuya
drape,n.,"abbong, cortina"
draw,v.,"iladawan, dutduten"
drawer,n. cajon ti lamisaan.,agiladladawan
drawl,n.,nabanayat a panagasao
dread,n.,"amac, buteng"
dreadful,adj.,nacaal-aliaw; nacaal-alingget
dream,n.,"tagtagainep, arapaa; parmata"
dress,n.,"lupot, bado, pagancatan"
dress,v.,"cawesan, tarimaanen, sucatan"
dress shop,n.,"pagdaitan iti bado, paglaccuan iti bado"
dressmaker,n.,"agdadait, agar-amid iti bado"
dressy,adj.,naparammag
drift,v.,"pannacaisurot iti ayus, mayanud"
drifting,v.,"mayan-anud, maisursurot"
drink,v.,"inumen, uminom"
drip,v.,"panagtedted, agtedtedted"
driver,n.,"cochero, chofer"
drizzle,n.,arbis
droop,v.,"agrucrucob, agdumdumog"
drop,v.,"itinnag, iregreg"
drown,v.,ilemmes; ipauneg iti danum
drowsy,adj.,macaturturog macadungdungsa
drug,n.,"agas, pangpaturog"
drugstore,n.,botica
drum,n.,tambor
drum,v.,"tugtogen, bitogen, patiten"
drunk,adj.,"nabartec, naulaw"
drunkard,n.,"mammartec, manag-inom"
dry,adj.,namaga
dual,adj.,duaan
dubious,adj.,pagduaduaan
duck,n.,"pato, itic"
ductile,adj.,"maunnat, mabennat"
due,prep.,"agsipud, gapu"
dull,adj.,"nangudel, agsasadut"
dummy,n.,"inaramid a sinantatao, bambanti"
dump,v.,"ipuruac, ibaba"
duplicate,n.,"maicadua, capada"
durable,adj.,"natibker, nalagda"
duration,n.,"panagpaut, cabayatanna"
during,adv.,"cabayatan, bayat"
dusky,adj.,nacuyem; nasipnget; nacudrep
dust,n.,"tapoc, rugit"
dust,v.,"dalusan, sagadan"
dusty,adj.,natapoc; narugit
duty,n.,"rebbengen, buis"
dwarf,n.,ansisit; bassit a tao
dwarfish,adj.,"bassit, pandec"
dwell,v.,agtaeng
dwelling,n.,"pagtataengan, balay"
dye,n.,"maris, tina"
dying,v.,"matmatay, agbubugsot"
dynamic,adj.,napigsa
dyspepsia,n.,saan a pannacarunaw ti kinan
each,pron.,tunggal maysa
eager,adj.,"mailiw, nagagar"
ear,n.,lapayag
early,adj.,nasapa
earmark,v.,"marcaan, ilasin"
earnest,adj.,napasnec
earnings,n.,"nasapulan, sueldo"
earrings,n.,aritos
earth,n.,"daga, lubong"
earthly,adj.,"nailulongan, naigdagaan"
earthquake,n.,ginggined
earthworm,n.,alumbayad
earwax,n.,rugit ti lapayag
ease,n.,"panaginana, nam-ay"
easier,adj.,nalaclaca
easily,adv.,nalaca
east,n.,daya
easter,n.,Pascua ti panagungar ni Cristo
eastern,n.,"dayaen, akindaya"
easy,adj.,"nalaca, nalag-an"
eat,adj.,mangan
eavesdrop,v.,mangdengngeg; mangalimadamad
ebony,n.,nangisit; ballatinaw
eccentric,adj.,carcarna
eclipse,n.,"eclipse, panagsabet ti bulan ken init"
economy,n.,panagsalimetmet
ecstacy,n.,"ragragsac, liliwa"
eddy,n.,alipugpog
edge,n.,"igid, iking"
edgy,adj.,managbuteng
edible,adj.,"macan, uray ania a macan"
edict,n.,"linteg, bilin"
edifice,n.,dackel a balay
editor,n.,"editor, mangimaton iti periodico"
educate,v.,"suruan, isuro pagadalen"
education,n.,"adal, sursuro"
educator,n.,"maestro, magisursuro"
eel,n.,igat
eerie,adj.,"nacam-amac, nacabutbuteng"
effect,n.,nagtungpalan; gubuay
effective,adj.,"napigsa, nacaro"
effeminate,adj.,"casla babai, binabai"
efficiency,n.,"cabaelan a mangitungpal iti gandat, kinaimbag"
effort,n.,"pigsa, cabaelan; panangipacat iti pigsa"
effrontery,n.,kinatured nga agaramid iti nagubsang
effulgence,n.,"raniag, pintas, ladawan"
egg,n.,itlog
eggplant,n.,tarong
eight,adj.,maicawalo
eight,n.,walo
eighteen,n.,sangapulo ket walo
eighteenth,v.,maicawalo
either,pron.,uray ania iti dua
ejaculate,v.,kellat a panangibaga
eject,v.,"pagtalawen, paadayuen"
elapse,v.,lumabas
elastic,adj.,"agbennat, nalucneng"
elated,adj.,naragsacan
elbow,n.,sico
elder,adj.,"inauna, nataengan"
elect,v.,pilien
election,n.,panagpili
elector,n.,elector; pumipili
electricity,n.,electricidad
electrify,v.,pannacaaramat ti electricidad; kellaaten
electrocute,v.,papatayen babaen iti electricidad
elegant,adj.,"nataraki, napintas; nadaeg"
element,n.,"elemento, nangangaruna a paset ti uray ania"
elementary,adj.,"pangrugyan, nasken nga anag"
elevate,v.,"ingato, dayawen"
elevation,n.,cangato
elevator,n.,maquina a pangingato; elevator
eleven,n.,sangpulo ket maysa
eleventh,adj.,maicasangapulo ket maysa
eligible,adj.,"rumbeng, tumutop"
eliminate,v.,"iccaten, yadayo"
elite,n.,napili; tampoc; capintasan
elongation,n.,castiddog
elope,v.,"panagtaray, panaglibas iti dua nga agayan-ayat"
eloquence,n.,ti naurnos a panagsarita
else,adj.,wenno
elsewhere,adv.,sabali a disso
elusive,adj.,"nagalis, nasiglat, nasicap"
emaciated,adj.,nacttong
emancipation,n.,"panagwaywayas, panagmaymaysa, pannacaruc-at"
embalm,v.,pagpauten (ti bangcay)
embarassed,adj.,nabainan
embarassment,n.,pannacapabalu
embezzle,v.,saan a maicanada a panangbusbos iti naicumit a cuarta
emblem,n.,taada
embrace,n.,aracup
emcumbrance,n.,"lapped, pangdagsen"
